Row,Seq,Type,Model,PctBreakSet,Year,ChangeYear,Predecessor,Successor,Ti,Shift,SegmentTrend,PreTrend,PostTrend,ShiftFromTrends,30YearTrend,slope1,Pr_slope1_,Sig_slope1_,Rsq_slope1_,slope2,Pr_slope2_,Sig_slope2_,Rsq_slope2_,non-trend-shift,Pr_non-trend-shift_,Sig_non-trend-shift_,PrTrends,sig_Trends_,Pr_shifts_,sig_shifts_,Pr_Regime_,sig_Regime_,PostShLen,PreShLen,is96-98,ECS,is96-2005,is2006-15,is2016-25,is2026-35,is2036-45,is2046-55,is2056-65,is2066-75,is2076-85,is2086-95,FollowingShift,ShTrend/Sfift,isPre2006,DeltaSh
203,197,r1i1p1,BNU-ESM,100,2005,2006,1994,2021,17.49525277,0.433150504,0.029667886,0.026307152,0.021697846,0.119543265,0.031756208,0.02631,0.0359,**   ,0.4031,0.021698,0.00942,***  ,0.3924,0.119543,0.22762,N/S  ,0.74022,N/S ,0.22762,N/S  ,0.3894,N/S ,16,11,FALSE,4.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.555657791,0.275985515,TRUE,0.313607239
2758,2669,r5i1p1,CCSM4,87,2005,2006,1998,2025,11.29085761,0.256163471,0.015137111,0.008126518,0.009676326,0.133051703,0.020019735,0.008127,0.682,N/S  ,0.0364,0.009676,0.0853,*    ,0.1555,0.133052,0.2262,N/S  ,0.9512,N/S ,0.2262,N/S  ,0.3528,N/S ,20,7,FALSE,2.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.381101406,0.519401547,TRUE,0.123111768
3054,2954,r6i1p1,GISS-E2-R,100,2005,2006,1996,2012,10.84010026,0.165969125,0.019504506,0.016977667,0.012933095,0.047047283,0.02117636,0.016978,0.0271,**   ,0.5258,0.012933,0.0585,*    ,0.5439,0.047047,0.286,N/S  ,0.669,N/S ,0.286,N/S  ,0.551,N/S ,7,9,FALSE,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.117564091,0.283470091,TRUE,0.118921842
791,764,r1i1p1,HadGEM2-ES,52,2006,2007,1997,2015,13.86553454,0.355517215,0.033192536,0.026746556,0.002437486,0.23467181,0.033204072,0.02675,0.0663,*    ,0.4028,0.002437,0.768,N/S  ,0.01326,0.234672,0.00827,***  ,0.11932,N/S ,0.00827,***  ,0.01579,**  ,9,9,FALSE,4.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.351740824,0.660085645,TRUE,0.120845405
2386,2309,r4i1p1,CanESM2,98,2006,2007,1996,2018,16.25148079,0.371688942,0.030258807,0.013668005,0.022864499,0.163157068,0.031978806,0.013668,0.0831,*    ,0.3287,0.022864,0.0178,**   ,0.445,0.163157,0.03341,**   ,0.43463,N/S ,0.03341,**   ,0.08431,*   ,12,10,FALSE,3.7,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.408007673,0.438961318,TRUE,0.208531874
998,962,r1i1p1,MPI-ESM-MR,100,2006,2007,1996,2021,16.3575237,0.225584279,0.01591606,0.00534548,0.012095161,0.104027139,0.014023915,0.005345,0.388,N/S  ,0.09426,0.012095,0.0216,**   ,0.3437,0.104027,0.07474,*    ,0.44558,N/S ,0.07474,*    ,0.1893,N/S ,15,10,FALSE,3.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.348936312,0.46114534,TRUE,0.12155714
2196,2124,r3i1p1,MPI-ESM-MR,100,2006,2007,1996,2023,18.11039999,0.316970824,0.021561528,0.03133746,0.013921413,0.051953481,0.024438214,0.031337,0.00689,***  ,0.6195,0.013921,0.000631,**** ,0.5522,0.051953,0.351503,N/S  ,0.051894,*   ,0.351503,N/S  ,0.04134,**  ,17,10,FALSE,3.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.386656303,0.163906193,TRUE,0.265017343
182,178,r1i1p1,bcc-csm1-1,88,2006,2007,1995,2020,17.31848813,0.229900271,0.01639565,0.015467508,0.008434158,0.089200415,0.015997202,0.01547,0.00099,**** ,0.7181,0.008434,0.13,N/S  ,0.1802,0.0892,0.0916,*    ,0.3491,N/S ,0.0916,*    ,0.1259,N/S ,14,11,FALSE,2.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.367181691,0.387996128,TRUE,0.140699856
2076,2010,r3i1p1,GISS-E2-H,100,2006,2007,1997,2014,11.93509271,0.202373054,0.023043442,0.018601361,0.023953621,0.020014106,0.023511926,0.018601,0.000086,**** ,0.9031,0.023954,0.0129,**   ,0.6703,0.020014,0.5506,N/S  ,0.433436,N/S ,0.5506,N/S  ,0.5425,N/S ,8,9,FALSE,2.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.18183314,0.098897089,TRUE,0.182358948
825,797,r1i1p1,inmcm4,88,2006,2007,1993,2024,20.42626872,0.162437612,0.009800397,0.010854528,0.007017756,0.029993529,0.011696895,0.010855,0.0126,**   ,0.4463,0.007018,0.00078,**** ,0.5164,0.029994,0.33573,N/S  ,0.30917,N/S ,0.33573,N/S  ,0.2907,N/S ,18,13,FALSE,2.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.231262015,0.184646454,TRUE,0.132444083
