"Seq","Source","BreakSet","DatasetNo","SetNo","SetNoInData","Type","Model","Treat","%BreakSet","Year","Predecessor","Successor","%SegmentFound","Ti","Shift","%YearOverall","Modal Year","ModalValue","SecondModalYear","SecondModalValue","SegmentTrend","PreTrend",PostTrend","ShiftFromTrends","30YearTrend","15YrTi","15YearShift","30Yr Mode","30YrModePct","30YrMode2","30YrMode2%","Stability",":","ModelGroup","GroupCode","GroupNum","Model","GroupModNum","ModelNum","EnsembleCode","EnsembleNum","Scenario",":","Byear","slope1","Pr(slope1)","Sig(slope1)","Rsq(slope1)","slope2","Pr(slope2)","Sig(slope2)","Rsq(slope2)","non-trend-shift","Pr(non-trend-shift)","Sig(non-trend-shift)",":","PrTrends","sig(Trends)","Pr(shifts)","sig(shifts)",Pr(Regime)","sig(Regime)","Modal"
1,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,1900,1861.0,1921,100,19.8589478947,0.155747156612,100,1900,1.0,0,0,0.00261315027295,-0.00215567714246,-0.0055120833331,0.257784656649,0.0229250747553,8.77256632059,0.232063295262,1900,0.84,1895,0.07,0.91 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 1900.0 , -0.002156 , 0.179000,N/S  , 0.04696 , -0.005512 , 0.072200,*    , 0.1602 , 0.257785 , 0.000036,**** , : , 0.409000,N/S , 0.000036,**** , 0.000068,****,"Y"
2,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,1921,1900,1998,100,36.1907478719,0.216358218036,100,1921,0.93,1927,0.06,0.00239701818846,-0.0055120833331,0.000457783159851,0.253490049842,0.0192266740196,9.02201858003,0.18057412299,1921,0.83,1920,0.16,0.92 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 1921.0 , -0.005512 , 0.072200,*    , 0.1602 , 0.0004578 , 0.472000,N/S  , 0.006912 , 0.25349 , 0.000016,**** , : , 0.161000,N/S , 0.000016,**** , 0.000010,****,"Y"
3,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,1998,1921,2010,100,49.1388760653,0.401353714559,100,1998,0.65,1995,0.19,0.0035016440104,0.000457783159851,0.023880923661,0.227504732349,0.0386781004908,8.94770736418,0.350334174024,2001,0.68,1995,0.14,0.71 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 1998.0 , 0.0004578 , 0.472000,N/S  , 0.006912 , 0.023881 , 0.011700,**   , 0.4861 , 0.2275 , 0.004980,***  , : , 0.022580,**  , 0.004980,***  , 0.000000,****,"Y"
4,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2010,1998,2021,100,13.5909332934,0.281374690977,100,2010,0.96,2009,0.03,0.0218009025023,0.023880923661,0.000979409086295,0.143684620635,0.019534301468,9.30728686793,0.213368217069,2010,0.96,2011,0.03,0.75 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2010.0 , 0.023881 , 0.011700,**   , 0.4861 , 0.0009794 , 0.928000,N/S  , 0.0009597 , 0.1436846 , 0.110300,N/S  , : , 0.091500,*   , 0.110300,N/S  , 0.100900,N/S ,"Y"
5,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2021,2010,2031,100,15.1347286266,0.326960609697,100,2021,0.86,2020,0.14,0.0224859945897,0.000979409086295,-0.00832763130748,0.366241479806,0.0319604080891,11.4379111968,0.340784663664,2021,0.59,2020,0.41,0.76 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2021.0 , 0.0009794 , 0.928000,N/S  , 0.0009597 , -0.008328 , 0.415000,N/S  , 0.08473 , 0.366241 , 0.000724,**** , : , 0.533271,N/S , 0.000724,**** , 0.002812,*** ,"Y"
6,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2031,2021,2054,100,18.1333497732,0.222733521424,100,2031,0.95,2030,0.03,0.0105683202427,-0.00832763130748,0.00675088521138,0.177990221959,0.0205753664205,10.8568213199,0.201711907477,2030,0.82,2031,0.18,0.43 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2031.0 , -0.008328 , 0.415000,N/S  , 0.08473 , 0.006751 , 0.018400,**   , 0.2371 , 0.17799 , 0.007610,***  , : , 0.132730,N/S , 0.007610,***  , 0.026650,**  ,"Y"
7,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2054,2031,2068,100,26.9029810565,0.351865278715,100,2054,0.99,2058,0.01,0.0159175152125,0.00675088521138,0.0165294212478,0.152997802066,0.02885110294,9.99277286176,0.258345950352,2054,0.68,2058,0.21,0.74 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2054.0 , 0.006751 , 0.018400,**   , 0.2371 , 0.016529 , 0.021800,**   , 0.3665 , 0.152998 , 0.017420,**   , : , 0.139660,N/S , 0.017420,**   , 0.002376,*** ,"Y"
8,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2068,2054,2080,100,19.9052359899,0.437786679396,100,2068,1.0,0,0,0.0299701222241,0.0165294212478,0.022866547207,0.182032683239,0.0329965955905,12.2528665801,0.327790925041,2068,1.0,0,0,1.0 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2068.0 , 0.016529 , 0.021800,**   , 0.3665 , 0.022867 , 0.008120,***  , 0.5201 , 0.182033 , 0.018300,**   , : , 0.514180,N/S , 0.018300,**   , 0.033990,**  ,"Y"
9,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2080,2068,2090,100,15.7998548901,0.409853314748,100,2080,0.99,2076,0.01,0.0323893642955,0.022866547207,0.0104550505023,0.225869948712,0.0407297696071,10.7012542337,0.365514178537,2080,0.98,2079,0.01,0.95 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2080.0 , 0.022867 , 0.008120,***  , 0.5201 , 0.01046 , 0.503000,N/S  , 0.0578 , 0.22587 , 0.029600,**   , : , 0.423200,N/S , 0.029600,**   , 0.085440,*   ,"Y"
10,r10i1p1_CSIRO-Mk3-6-0_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_128.final.csv,"[1861.0, 1900, 1921, 1998, 2010, 2021, 2031, 2054, 2068, 2080, 2090, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP6,100,2090,2080,2100.0,100,14.227341754,0.370161229305,100,2090,0.94,2091,0.05,0.0314581710518,0.0104550505023,0.0194675303025,0.214902272736,0.042643615195,10.7644434456,0.371944910298,2090,0.96,2091,0.02,0.96 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP6 ,":" , 2090.0 , 0.01046 , 0.503000,N/S  , 0.0578 , 0.019468 , 0.040800,**   , 0.4259 , 0.214902 , 0.043400,**   , : , 0.601800,N/S , 0.043400,**   , 0.100000,*   ,"Y"
